ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Species	Response
GO:0009765	photosynthesis, light harvesting	20/2784	76/51223	2.71637193505851e-09	2.27360330964397e-06	2.00439655418528e-06	BnaA01g22670D/BnaA02g29010D/BnaA03g24350D/BnaA05g29390D/BnaA06g17350D/BnaA09g02120D/BnaA09g13710D/BnaA09g34720D/BnaA10g07350D/BnaAnng00160D/BnaC01g29520D/BnaC02g24150D/BnaC02g37040D/BnaC07g24660D/BnaC08g16790D/BnaC08g38660D/BnaC09g30700D/BnaCnng04230D/BnaCnng15190D/BnaCnng24140D	20	B. napus	up-regulated
GO:0061512	protein localization to cilium	10/2784	18/51223	6.4755809532759e-09	2.71003062894596e-06	2.38914855170863e-06	BnaA04g29500D/BnaA05g14540D/BnaA05g30970D/BnaA07g02000D/BnaA08g01170D/BnaC03g69560D/BnaC05g45450D/BnaC06g00180D/BnaC06g09960D/BnaC09g39120D	10	B. napus	up-regulated
GO:0009819	drought recovery	8/2784	16/51223	6.54486005739897e-07	0.000182601595601431	0.000160980592990761	BnaA01g27710D/BnaA03g34250D/BnaA07g34110D/BnaA09g01440D/BnaC01g35230D/BnaC03g39720D/BnaC06g38730D/BnaCnng68120D	8	B. napus	up-regulated
GO:0018298	protein-chromophore linkage	21/2784	122/51223	2.59330274014774e-06	0.000542648598375914	0.000478396110748306	BnaA01g22670D/BnaA02g29010D/BnaA03g24350D/BnaA05g22950D/BnaA05g29390D/BnaA06g17350D/BnaA09g02120D/BnaA09g13710D/BnaA09g34720D/BnaA10g07350D/BnaAnng00160D/BnaC01g29520D/BnaC02g24150D/BnaC02g37040D/BnaC07g24660D/BnaC08g16790D/BnaC08g38660D/BnaC09g30700D/BnaCnng04230D/BnaCnng15190D/BnaCnng24140D	21	B. napus	up-regulated
GO:0006470	protein dephosphorylation	49/2784	450/51223	3.54933097927361e-06	0.000594158005930403	0.000523806529783327	BnaA01g05090D/BnaA01g23680D/BnaA02g07240D/BnaA03g25860D/BnaA03g29560D/BnaA03g47830D/BnaA05g18340D/BnaA05g19180D/BnaA05g30700D/BnaA05g33370D/BnaA05g34330D/BnaA06g33370D/BnaA06g40990D/BnaA07g22500D/BnaA08g12370D/BnaA08g26590D/BnaA09g11370D/BnaA09g31970D/BnaA09g41070D/BnaA09g43650D/BnaA10g08880D/BnaAnng12560D/BnaAnng12690D/BnaAnng29590D/BnaAnng30450D/BnaC01g06710D/BnaC01g18020D/BnaC01g32870D/BnaC01g38550D/BnaC02g39950D/BnaC03g30360D/BnaC03g34820D/BnaC03g68540D/BnaC04g00380D/BnaC04g20710D/BnaC05g17450D/BnaC05g32560D/BnaC06g16610D/BnaC07g40980D/BnaC07g44600D/BnaC08g29250D/BnaC08g33610D/BnaC08g36280D/BnaC08g43180D/BnaC09g21590D/BnaC09g39230D/BnaC09g53650D/BnaCnng05920D/BnaCnng69380D	49	B. napus	up-regulated
GO:0006413	translational initiation	45/2784	405/51223	5.14596510810242e-06	0.000717862132580287	0.000632863428206981	BnaA01g05110D/BnaA02g08040D/BnaA02g12000D/BnaA02g21830D/BnaA02g32180D/BnaA03g01470D/BnaA03g06890D/BnaA03g19530D/BnaA03g46710D/BnaA04g22420D/BnaA05g02290D/BnaA05g12850D/BnaA06g36870D/BnaA07g31100D/BnaA08g12390D/BnaA08g14130D/BnaA08g27210D/BnaA08g28140D/BnaA08g28950D/BnaA09g35240D/BnaAnng37870D/BnaC01g06760D/BnaC02g21360D/BnaC02g30110D/BnaC02g36170D/BnaC03g15540D/BnaC03g23420D/BnaC03g29160D/BnaC03g29680D/BnaC03g38220D/BnaC03g70070D/BnaC03g70120D/BnaC04g01970D/BnaC04g46940D/BnaC05g02960D/BnaC05g13560D/BnaC06g12410D/BnaC07g11690D/BnaC08g01080D/BnaC08g02230D/BnaC08g11660D/BnaC08g45360D/BnaCnng17970D/BnaCnng30810D/BnaCnng67730D	45	B. napus	up-regulated
GO:0006367	transcription initiation from RNA polymerase II promoter	13/2784	61/51223	1.97733007916007e-05	0.00236432182322426	0.00208437351201686	BnaA02g21830D/BnaA03g46710D/BnaA08g28140D/BnaA08g28950D/BnaA10g01780D/BnaC03g29680D/BnaC05g02960D/BnaC08g01080D/BnaC08g02230D/BnaC08g11660D/BnaC08g45360D/BnaCnng34010D/BnaCnng67730D	13	B. napus	up-regulated
GO:0006352	DNA-templated transcription, initiation	15/2784	80/51223	2.3790534949448e-05	0.00238901186873845	0.00210614012448677	BnaA01g05110D/BnaA02g00250D/BnaA05g13730D/BnaA05g25850D/BnaA06g36870D/BnaA08g00420D/BnaA08g12390D/BnaAnng29570D/BnaC01g06760D/BnaC02g30110D/BnaC02g33510D/BnaC03g70590D/BnaC05g13560D/BnaC07g11690D/BnaCnng30810D	15	B. napus	up-regulated
GO:0010114	response to red light	10/2784	38/51223	2.56882996638543e-05	0.00238901186873845	0.00210614012448677	BnaA05g00290D/BnaA05g01530D/BnaA07g38170D/BnaA09g28640D/BnaC01g33900D/BnaC04g00170D/BnaC04g01060D/BnaC04g15310D/BnaC06g42880D/BnaCnng04590D	10	B. napus	up-regulated
GO:0006914	autophagy	14/2784	73/51223	3.38615385993306e-05	0.00283421078076397	0.00249862511138218	BnaA03g21090D/BnaA03g40280D/BnaA03g45070D/BnaA05g23940D/BnaA07g12240D/BnaA07g38000D/BnaAnng27580D/BnaC01g13410D/BnaC03g74460D/BnaC04g19210D/BnaC06g18590D/BnaC07g33760D/BnaC08g32470D/BnaC09g40670D	14	B. napus	up-regulated
