A_thaliana_ortholog	Genefamily	Description	Gene_name	Species
AT3G45140.1	JA biosynthesis	LOX2	BraA07g031010.3C	B. rapa
AT3G45140.1	JA biosynthesis	LOX2	BraA07g030990.3C	B. rapa
AT3G45140.1	JA biosynthesis	LOX2	BraA07g031020.3C	B. rapa
AT3G45140.1	JA biosynthesis	LOX2	BraA07g025400.3C	B. rapa
AT3G45140.1	JA biosynthesis	LOX2	BraA02g016000.3C	B. rapa
AT3G45140.1	JA biosynthesis	LOX2	BraA07g031000.3C	B. rapa
AT3G45140.1	JA biosynthesis	LOX2	Bo01180s030	B. oleracea
AT3G45140.1	JA biosynthesis	LOX2	Bo01907s010	B. oleracea
AT3G45140.1	JA biosynthesis	LOX2	Bo01332s010	B. oleracea
AT3G45140.1	JA biosynthesis	LOX2	Bo09205s010	B. oleracea
AT3G45140.1	JA biosynthesis	LOX2	Bo6g097400	B. oleracea
AT3G45140.1	JA biosynthesis	LOX2	Bo6g079880	B. oleracea
AT3G45140.1	JA biosynthesis	LOX2	Bo2g050630	B. oleracea
AT1G17420.1	JA biosynthesis	LOX3	BraA08g029260.3C	B. rapa
AT1G17420.1	JA biosynthesis	LOX3	BraA09g057750.3C	B. rapa
AT1G17420.1	JA biosynthesis	LOX3	Bo8g104870	B. oleracea
AT1G17420.1	JA biosynthesis	LOX3	Bo8g067210	B. oleracea
AT1G72520.1	JA biosynthesis	LOX4	BraA02g021090.3C	B. rapa
AT1G72520.1	JA biosynthesis	LOX4	Bo2g076880	B. oleracea
AT1G67560.1	JA biosynthesis	LOX6	BraA07g031230.3C	B. rapa
AT1G67560.1	JA biosynthesis	LOX6	BraA02g017730.3C	B. rapa
AT1G67560.1	JA biosynthesis	LOX6	Bo2g056010	B. oleracea
AT1G67560.1	JA biosynthesis	LOX6	Bo6g098790	B. oleracea
AT5G42650.1	JA biosynthesis	AOS	BraA02g030050.3C	B. rapa
AT5G42650.1	JA biosynthesis	AOS	Bo2g116210	B. oleracea
AT1G13280.1	JA biosynthesis	AOC4	BraA08g030560.3C	B. rapa
AT1G13280.1	JA biosynthesis	AOC4	Bo8g065370	B. oleracea
AT3G25770.1	JA biosynthesis	AOC2	BraA09g024510.3C	B. rapa
AT3G25770.1	JA biosynthesis	AOC2	Bo7g082020	B. oleracea
AT3G25770.1	JA biosynthesis	AOC2	Bo9g075840	B. oleracea
AT3G25770.1	JA biosynthesis	AOC2	Bo7g082010	B. oleracea
AT3G25780.1	JA biosynthesis	AOC3	BraA09g024530.3C	B. rapa
AT3G25780.1	JA biosynthesis	AOC3	Bo9g075870	B. oleracea
AT1G76690.1	JA biosynthesis	OPR2	BraA02g023600.3C	B. rapa
AT1G76690.1	JA biosynthesis	OPR2	Bo2g091100	B. oleracea
AT1G76690.1	JA biosynthesis	OPR2	Bo9g161750	B. oleracea
AT2G46370.4	JA signaling	JAR1	BraA05g001430.3C	B. rapa
AT2G46370.4	JA signaling	JAR1	BraA03g024150.3C	B. rapa
AT2G46370.4	JA signaling	JAR1	BraA04g032040.3C	B. rapa
AT2G46370.4	JA signaling	JAR1	Bo3g039200	B. oleracea
AT2G46370.4	JA signaling	JAR1	Bo4g196110	B. oleracea
AT2G46370.4	JA signaling	JAR1	Bo4g009300	B. oleracea
AT2G39940.1	JA signaling	COI1	BraA05g006140.3C	B. rapa
AT2G39940.1	JA signaling	COI1	BraA03g021140.3C	B. rapa
AT2G39940.1	JA signaling	COI1	Bo3g034570	B. oleracea
AT2G39940.1	JA signaling	COI1	Bo4g025750	B. oleracea
AT1G19180.1	JA signaling	JAZ1	Bo5g027170	B. oleracea
AT1G70700.1	JA signaling	JAZ9	BraA02g020000.3C	B. rapa
AT1G72450.1	JA signaling	JAZ6	BraA02g021020.3C	B. rapa
AT1G72450.1	JA signaling	JAZ6	Bo2g076750	B. oleracea
AT3G17860.1	JA signaling	JAZ3	BraA05g029670.3C	B. rapa
AT3G17860.1	JA signaling	JAZ3	BraA01g034810.3C	B. rapa
AT3G17860.1	JA signaling	JAZ3	Bo5g121480	B. oleracea
AT3G17860.1	JA signaling	JAZ3	Bo1g119100	B. oleracea
AT5G13220.1	JA signaling	JAZ10	BraA02g004740.3C	B. rapa
AT5G13220.1	JA signaling	JAZ10	BraA03g005650.3C	B. rapa
AT5G13220.1	JA signaling	JAZ10	BraA10g025540.3C	B. rapa
AT5G13220.1	JA signaling	JAZ10	Bo3g009050	B. oleracea
AT5G13220.1	JA signaling	JAZ10	Bo9g168900	B. oleracea
AT1G32640.1	JA/ET signaling	MYC2	BraA05g023030.3C	B. rapa
AT1G32640.1	JA/ET signaling	MYC2	Bo5g086990	B. oleracea
AT4G17880.1	JA/ET signaling	MYC4	BraA01g009460.3C	B. rapa
AT3G04720.1	JA/ET signaling	HEL(PR4)	BraA03g031840.3C	B. rapa
AT3G04720.1	JA/ET signaling	HEL(PR4)	Bo3g058580	B. oleracea
AT3G12500.1	JA/ET signaling	CHIB(PR3)	BraA01g038870.3C	B. rapa
AT3G12500.1	JA/ET signaling	CHIB(PR3)	BraA05g034520.3C	B. rapa
AT3G12500.1	JA/ET signaling	CHIB(PR3)	Bo1g139210	B. oleracea
AT3G12500.1	JA/ET signaling	CHIB(PR3)	Bo5g133420	B. oleracea
AT5G44420.1	JA/ET signaling	PDF1.2a	BraA07g039340.3C	B. rapa
AT5G44430.1	JA/ET signaling	PDF1.2c	BraA07g039320.3C	B. rapa
AT5G44430.1	JA/ET signaling	PDF1.2c	BraA07g027620.3C	B. rapa
AT5G44430.1	JA/ET signaling	PDF1.2c	BraA02g023100.3C	B. rapa
AT5G44430.1	JA/ET signaling	PDF1.2c	BraA02g023090.3C	B. rapa
AT5G44430.1	JA/ET signaling	PDF1.2c	BraA07g039350.3C	B. rapa
AT5G44430.1	JA/ET signaling	PDF1.2c	Bo33549s010	B. oleracea
AT5G44430.1	JA/ET signaling	PDF1.2c	Bo6g119910	B. oleracea
AT5G44430.1	JA/ET signaling	PDF1.2c	Bo2g086460	B. oleracea
AT5G44430.1	JA/ET signaling	PDF1.2c	Bo6g086110	B. oleracea
AT5G44430.1	JA/ET signaling	PDF1.2c	Bo6g086120	B. oleracea
